Name,Stock_type,Mileage,Primary_price,Website_link,Dealer_name,Distance_from
2019 Ford Mustang GT,Used,"23,205 mi.","$33,000",https://www.cars.com/vehicledetail/b1523410-10d0-44f2-a0fe-a0691fe5bda5/?attribution_type=premier,AutoMax Preowned Framingham,mi. from 02466
2015 INFINITI Q70 3.7X,Used,"77,550 mi.","$18,517",https://www.cars.com/vehicledetail/9d6cb790-089b-40a0-b857-c27138ae5ce3/,Lexus of Watertown,5 mi. from 02466
2016 Toyota Avalon Limited,Used,"100,442 mi.","$17,497",https://www.cars.com/vehicledetail/bf7ed5a4-4e85-488f-afd3-6ef843f582e3/,Lexus of Watertown,5 mi. from 02466
2020 Lexus IS 300 Base,Used,"15,922 mi.","$32,188",https://www.cars.com/vehicledetail/01849488-1b7f-4dcb-8956-61b378ea6c9f/,Parkway Toyota of Boston,7 mi. from 02466
2018 Lexus LS 500 500,Used,"64,539 mi.","$40,988",https://www.cars.com/vehicledetail/b8fbc4aa-e3ef-4e64-b101-73fbf2914def/,Audi Westwood,9 mi. from 02466
2016 Acura TLX FWD,Acura Certified,"102,315 mi.","$16,087",https://www.cars.com/vehicledetail/91a78de2-b03e-4aa8-8acd-4e76d9b89c12/,Ira Acura Westwood,10 mi. from 02466
2017 Ford Fusion Titanium,Used,"128,337 mi.","$11,862",https://www.cars.com/vehicledetail/605e88f4-3e19-4416-a6de-241902aeaaac/,Mercedes-Benz of Westwood,10 mi. from 02466
2011 Honda Accord SE,Used,"83,755 mi.","$11,987",https://www.cars.com/vehicledetail/6620096e-2c07-4361-859c-a09efd668281/,Ira Mazda,10 mi. from 02466
2019 Lexus ES 350 Luxury,Used,"31,141 mi.","$33,611",https://www.cars.com/vehicledetail/2a8ef8a8-af5f-48b4-a1ad-403ec98a9422/,Ira Mazda,10 mi. from 02466
2022 Cadillac CT4-V Blackwing,Used,"9,453 mi.","$62,262",https://www.cars.com/vehicledetail/faa6dcdb-4296-4116-a423-d884d53c6714/,Central Chrysler Jeep Dodge of Norwood,10 mi. from 02466
2021 Audi A8 L 60,Used,"12,182 mi.","$63,290",https://www.cars.com/vehicledetail/7aa0b7ea-8cc3-452d-8e3e-fc8881d4e264/,Boch Honda,11 mi. from 02466
2019 BMW 330 i xDrive,Used,"40,069 mi.","$28,770",https://www.cars.com/vehicledetail/e216216c-56fa-4ae4-8b0e-ea4513fd7c5b/,McGovern Ford of Framingham,11 mi. from 02466
2020 Tesla Model 3 Performance,Used,"51,561 mi.","$32,997",https://www.cars.com/vehicledetail/5a6f9650-5604-4c51-aeb5-75f74ae07c48/,Boch Nissan,11 mi. from 02466
2015 Tesla Model S 85D,Used,"65,826 mi.","$27,500",https://www.cars.com/vehicledetail/6a951be2-33f8-4353-aca3-4d479664d732/,McGovern Subaru of Acton,12 mi. from 02466
2021 Honda Accord LX 1.5T,Used,"49,890 mi.","$23,200",https://www.cars.com/vehicledetail/e65efd07-2376-4dbf-8f62-344c457e6f1a/,Boch Honda West,18 mi. from 02466
2019 Lexus ES 350 ES 350,Used,"10,752 mi.","$32,595",https://www.cars.com/vehicledetail/239a6902-d290-4924-a81f-8cc41f2208f8/,Boch Honda West,18 mi. from 02466
2022 Volkswagen Jetta GLI 2.0T Autobahn,Volkswagen Certified,"17,862 mi.","$33,872",https://www.cars.com/vehicledetail/5ba97a91-a5cd-4409-b59c-da8681eb1d6b/,Colonial Volkswagen,19 mi. from 02466
2022 Lexus IS 350 F Sport,Used,"19,862 mi.","$41,477",https://www.cars.com/vehicledetail/ecbb8f4c-6860-4ede-889e-ac2380ed701d/,Imperial Hyundai,19 mi. from 02466
2021 Toyota Camry SE,Used,"60,707 mi.","$22,390",https://www.cars.com/vehicledetail/2f3beb4d-7a3c-4f9e-ba01-e35b56a7afc0/,Fafama Auto Sales,21 mi. from 02466
2004 Audi A8 L 4.2 quattro,Used,"167,151 mi.","$8,998",https://www.cars.com/vehicledetail/c4ac0e32-adbc-4aee-a74d-88b09b2c0d56/,The Highline Group,21 mi. from 02466
2022 BMW 740 i xDrive,Used,"45,273 mi.","$52,988",https://www.cars.com/vehicledetail/1873ab6c-2c89-45d3-b61f-2c05524f8d92/,Ira Lexus,21 mi. from 02466
2019 Ford Mustang GT,Used,"23,205 mi.","$33,000",https://www.cars.com/vehicledetail/b1523410-10d0-44f2-a0fe-a0691fe5bda5/?attribution_type=premier,AutoMax Preowned Framingham,mi. from 02466
2020 Genesis G70 2.0T Sport,Used,"20,180 mi.","$26,995",https://www.cars.com/vehicledetail/4f4f91a4-0872-4b6d-80d4-f164a0efc988/,Boston Foreign Motor,6 mi. from 02466
2023 Cadillac CT4 Sport,Used,"6,473 mi.","$39,488",https://www.cars.com/vehicledetail/339ea0d8-50a0-428a-b3b4-d725fd5750ce/,Audi Westwood,9 mi. from 02466
2016 Chevrolet Cruze Limited 1LT,Used,"85,020 mi.","$8,987",https://www.cars.com/vehicledetail/8da512d8-7f98-4776-8335-2c684df277cd/,BMW of Norwood,12 mi. from 02466
2018 Mercedes-Benz AMG E 43 Base 4MATIC,Used,"54,670 mi.","$39,998",https://www.cars.com/vehicledetail/503462eb-df27-419f-a2a3-836f5f709628/,CarMax Norwood - Offering Express Pickup and Home Delivery,13 mi. from 02466
2020 Audi A8 L 55,Used,"21,948 mi.","$54,277",https://www.cars.com/vehicledetail/57f7e0e5-4258-4293-be2b-f04ebf81869f/,Colonial Ford of Marlboro,15 mi. from 02466
2014 Toyota Camry SE Sport,Used,"111,983 mi.","$13,925",https://www.cars.com/vehicledetail/f481a5e6-6e15-43b9-a156-8fc7017df19e/,Atlantic Toyota,17 mi. from 02466
2022 Chrysler 300 S,Used,"31,489 mi.","$28,843",https://www.cars.com/vehicledetail/a8a7864b-6067-4303-99f1-08b502edf9a0/,Hertz Car Sales Lynn,17 mi. from 02466
2012 Rolls-Royce Ghost Base,Used,"55,070 mi.","$114,995",https://www.cars.com/vehicledetail/fb2102d9-c5be-44c2-89bc-da2f49c88803/,Avon Auto Brokers,20 mi. from 02466
