index,country_cca3,border_country,border_length
1,Afghanistan,China,91 km
2,Afghanistan,Iran,921 km
3,Afghanistan,Pakistan,"2,670 km"
4,Afghanistan,Tajikistan,"1,357 km"
5,Afghanistan,Turkmenistan,804 km
6,Afghanistan,Uzbekistan,144 km
7,Akrotiri,Cyprus,48 km
8,Albania,Greece,212 km
9,Albania,Kosovo,112 km
10,Albania,North Macedonia,181 km
11,Albania,Montenegro,186 km
12,Algeria,Libya,989 km
13,Algeria,Mali,"1,359 km"
14,Algeria,Mauritania,460 km
15,Algeria,Morocco,"1,941 km"
16,Algeria,Niger,951 km
17,Algeria,Tunisia,"1,034 km"
18,Andorra,France,55 km
19,Andorra,Spain,63 km
20,Angola,"Democratic Republic of the Congo 2,646 km (of which 225 km is the boundary of discontiguous",Cabinda Province)
21,Angola,Republic of the Congo,231 km
22,Angola,Namibia,"1,427 km"
23,Angola,Zambia,"1,065 km"
24,Argentina,Bolivia,942 km
25,Argentina,Brazil,"1,263 km"
26,Argentina,Chile,"6,691 km"
27,Argentina,Paraguay,"2,531 km"
28,Argentina,Uruguay,541 km
29,Armenia,Azerbaijan,996 km
30,Armenia,Georgia,219 km
31,Armenia,Iran,44 km
32,Armenia,Turkey,311 km
33,Austria,Czech Republic,402 km
34,Austria,Germany,801 km
35,Austria,Hungary,321 km
36,Austria,Italy,404 km
37,Austria,Liechtenstein,34 km
38,Austria,Slovakia,105 km
39,Austria,Slovenia,299 km
40,Austria,Switzerland,158 km
41,Azerbaijan,Armenia,996 km
42,Azerbaijan,Georgia,428 km
43,Azerbaijan,Iran,689 km
44,Azerbaijan,Russia,338 km
45,Azerbaijan,Turkey,17 km
46,Bangladesh,Burma,271 km
47,Bangladesh,India,"4,142 km"
48,Belarus,Latvia,161 km
49,Belarus,Lithuania,640 km
50,Belarus,Poland,375 km
51,Belarus,Russia,"1,312 km"
52,Belarus,Ukraine,"1,111 km"
53,Belgium,France,556 km
54,Belgium,Germany,133 km
55,Belgium,Luxembourg,130 km
56,Belgium,Netherlands,478 km
57,Belize,Guatemala,266 km
58,Belize,Mexico,276 km
59,Benin,Burkina Faso,386 km
60,Benin,Niger,277 km
61,Benin,Nigeria,809 km
62,Benin,Togo,651 km
63,Bhutan,China,477 km
64,Bhutan,India,659 km
65,Bolivia,Argentina,942 km
66,Bolivia,Brazil,"3,403 km"
67,Bolivia,Chile,942 km
68,Bolivia,Paraguay,753 km
69,Bolivia,Peru,"1,212 km"
70,Bosnia and Herzegovina,Croatia,956 km
71,Bosnia and Herzegovina,Montenegro,242 km
72,Bosnia and Herzegovina,Serbia,345 km
73,Botswana,Namibia,"1,544 km"
74,Botswana,South Africa,"1,969 km"
75,Botswana,Zambia,0.15 km
76,Botswana,Zimbabwe,834 km
77,Brazil,Argentina,"1,263 km"
78,Brazil,Bolivia,"3,403 km"
79,Brazil,Colombia,"1,790 km"
80,Brazil,French Guiana,649 km
81,Brazil,Guyana,"1,308 km"
82,Brazil,Paraguay,"1,371 km"
83,Brazil,Peru,"2,659 km"
84,Brazil,Suriname,515 km
85,Brazil,Uruguay,"1,050 km"
86,Brazil,Venezuela,"2,137 km"
87,Brunei,Malaysia,266 km
88,Bulgaria,Greece,472 km
89,Bulgaria,Macedonia,162 km
90,Bulgaria,Romania,605 km
91,Bulgaria,Serbia,344 km
92,Bulgaria,Turkey,223 km
93,Burkina Faso,Benin,386 km
94,Burkina Faso,Cote d'Ivoire,545 km
95,Burkina Faso,Ghana,602 km
96,Burkina Faso,Mali,1325 km
97,Burkina Faso,Niger,622 km
98,Burkina Faso,Togo,131 km
99,Burma,Bangladesh,271 km
100,Burma,China,"2,129 km"
101,Burma,India,"1,468 km"
102,Burma,Laos,238 km
103,Burma,Thailand,"2,416 km"
104,Burundi,Democratic Republic of the Congo,236 km
105,Burundi,Rwanda,315 km
106,Burundi,Tanzania,589 km
107,Cambodia,Laos,555 km
108,Cambodia,Thailand,817 km
109,Cambodia,Vietnam,1158 km
110,Cameroon,Central African Republic,901 km
111,Cameroon,Chad,"1,116 km"
112,Cameroon,Republic of the Congo,494 km
113,Cameroon,Equatorial Guinea,183 km
114,Cameroon,Gabon,349 km
115,Cameroon,Nigeria,1975 km
116,Canada,"US 8,891 km (includes 2,475 km",with Alaska)
117,Canada,Denmark (Greenland),1.3 km
118,Central African Republic,Cameroon,901 km
119,Central African Republic,Chad,1556 km
120,Central African Republic,"Democratic Republic of the Congo 1,747 km, Republic of the Congo",487 km
121,Central African Republic,South Sudan,1055 km
122,Central African Republic,Sudan,174 km
123,Chad,Cameroon,"1,116 km"
124,Chad,Central African Republic,"1,556 km"
125,Chad,Libya,"1,050 km"
126,Chad,Niger,"1,196 km"
127,Chad,Nigeria,85 km
128,Chad,Sudan,"1,403 km"
129,Chile,Argentina,"6,691 km"
130,Chile,Bolivia,942 km
131,Chile,Peru,168 km
132,China,Afghanistan,91 km
133,China,Bhutan,477 km
134,China,Burma,"2,129 km"
135,China,India,"2,659 km"
136,China,Kazakhstan,"1,765 km"
137,China,North Korea,"1,352 km"
138,China,Kyrgyzstan,"1,063 km"
139,China,Laos,475 km
140,China,Mongolia,"4,630 km"
141,China,Nepal,"1,389 km"
142,China,Pakistan,438 km
143,China,"Russia (northeast) 4,133 km and Russia (northwest)",46 km
144,China,Tajikistan,477 km
145,China,Vietnam,"1,297 km"
146,Colombia,Brazil,"1,790 km"
147,Colombia,Ecuador,708 km
